Year_Month,Avg_Close,Total_Volume
1980-12,0.135903076,1344851200
1981-01,0.141315904,608988800
1981-02,0.117892368,321619200
1981-03,0.110871455,700716800
1981-04,0.121545476,536928000
1981-05,0.1294364,590419200
1981-06,0.137073729,950566400
1981-07,0.108816909,667430400
1981-08,0.09983519,548620800
1981-09,0.080941762,743680000
1981-10,0.082893727,904176000
1981-11,0.083230898,586678400
1981-12,0.09002109,1037120000
1982-01,0.088616151,864214400
1982-02,0.084439473,608406400
1982-03,0.074073217,1199676800
1982-04,0.072730666,1749596800
1982-05,0.066322499,1243894400
1982-06,0.059101272,803644800
1982-07,0.057318285,1418211200
1982-08,0.064706909,2156000000
1982-09,0.081180713,1663558400
1982-10,0.10382119,3779507200
1982-11,0.134752333,3152307200
1982-12,0.138392862,2725990400
1983-01,0.150164858,4579030400
1983-02,0.199835525,3153292800
1983-03,0.193856739,2648329600
1983-04,0.2042689,3338832000
1983-05,0.24428681,2084409600
1983-06,0.248706316,2807481600
1983-07,0.1944197,3097830400
1983-08,0.149044262,3061542400
1983-09,0.134778953,7941606400
1983-10,0.094892762,5021878400
1983-11,0.092235476,4122160000
1983-12,0.102280001,2656617600
1984-01,0.12239581,4358816000
1984-02,0.11255585,3111360000
1984-03,0.116984637,1965891200
1984-04,0.11861055,3216707200
1984-05,0.138595683,5315676800
1984-06,0.127099192,3175132800
1984-07,0.115832286,2834899200
1984-08,0.124563305,5111792000
1984-09,0.119096685,2500624000
1984-10,0.110757912,3563056000
1984-11,0.108205809,3370057600
1984-12,0.120312551,3455020800
1985-01,0.130605773,6366416000
1985-02,0.125411316,4733388800
1985-03,0.101535713,4615587200
1985-04,0.09566319,2868028800
1985-05,0.087763955,4639129600
1985-06,0.07321435,5811388800
1985-07,0.07673,2600595200
1985-08,0.067395272,1818745600
1985-09,0.070224421,1797196800
1985-10,0.075625869,3785913600
1985-11,0.086886251,2884672000
1985-12,0.093537429,3571209600
1986-01,0.103033773,6291801600
1986-02,0.109698106,3420860800
1986-03,0.117047948,4264332800
1986-04,0.128399091,4462684800
1986-05,0.15614381,4954051200
1986-06,0.161511381,4063360000
1986-07,0.152090137,5691638400
